,Livesp,lat,Floor,Price,Dist,Kitsp,Walk,Bal,New,Rooms,lon,Totsp,Nfloors,N,Metrdist,Brick,District,Tel
70,21,55.761882,3,7800000,0.4078308705181054,6,1.0,1.0,0.0,1,37.56344,32,5,70,4,0.0,0,1.0
71,31,55.752931,4,7800000,0.4078308705181054,6,1.0,1.0,0.0,2,37.523411,44,5,71,10,1.0,0,0.0
72,20,55.743188,8,7800000,0.4078308705181054,10,1.0,1.0,0.0,1,37.684874,35,12,72,5,,0,1.0
73,20,55.764384,7,7800000,0.4078308705181054,6,1.0,1.0,0.0,1,37.548564,31,9,73,13,1.0,0,1.0
74,"35,6",55.775753,4,7804265,0.4078308705181054,–,1.0,0.0,,1,37.671938,"35,6",,74,6,,0,
75,"34,9",55.775753,3,7838741,0.4078308705181054,–,1.0,0.0,,1,37.671938,"34,9",,75,6,,0,
76,15,55.770294,3,7850000,0.4078308705181054,4,1.0,,0.0,1,37.636976,24,5,76,4,1.0,0,1.0
77,"29,2",55.754335,5,7850000,0.4078308705181054,"5,6",1.0,1.0,0.0,2,37.546857,"43,4",5,77,7,1.0,0,1.0
78,29,55.776294,2,7863878,0.4078308705181054,–,1.0,0.0,0.0,1,37.672163,29,6,78,5,1.0,0,0.0
79,–,55.775753,2,7989174,0.4078308705181054,–,1.0,,,1,37.671938,28,6,79,9,1.0,0,
80,20,55.734141,2,8000000,0.4078308705181054,9,1.0,1.0,0.0,1,37.683221,37,14,80,15,1.0,0,1.0
81,31,55.724834,1,8000000,0.4078308705181054,9,1.0,0.0,0.0,2,37.632448,57,5,81,7,1.0,0,0.0
82,17,55.779028,5,8000000,0.4078308705181054,"8,2",1.0,1.0,0.0,1,37.685512,"38,5",14,82,13,1.0,0,1.0
83,–,55.771218,3,8076150,0.4078308705181054,–,1.0,,,1,37.564721,"41,1",39,83,5,1.0,0,
84,30,55.775753,2,8081363,0.4078308705181054,–,1.0,,,2,37.671938,"55,2",5,84,6,1.0,0,
85,69,55.722142,6,43700000,0.4078308705181054,17,1.0,1.0,0.0,3,37.618569,118,14,85,5,1.0,0,0.0
86,–,55.774867,5,170906390,0.4078308705181054,–,1.0,,0.0,4,37.601609,151,10,86,6,1.0,0,1.0
87,"95,5",55.735368,3,116740000,0.4078308705181054,18,1.0,1.0,0.0,4,37.584119,"179,6",7,87,10,1.0,0,1.0
88,25,55.775753,2,8081363,0.4078308705181054,–,1.0,,,1,37.671938,"55,2",5,88,6,1.0,0,
89,40,55.733655,3,8150000,0.4078308705181054,6,1.0,1.0,0.0,3,37.638835,56,5,89,5,0.0,0,0.0
90,20,55.771218,3,8157500,0.4078308705181054,–,1.0,,,1,37.564721,43,44,90,7,1.0,0,
91,"32,3",55.730831,7,8200000,0.4078308705181054,"5,6",1.0,1.0,0.0,2,37.674885,"44,6",9,91,7,0.0,0,1.0
92,20,55.761381,2,8200000,0.4078308705181054,"8,5",0.0,1.0,0.0,1,37.541404,40,5,92,15,1.0,0,1.0
93,"30,6",55.775753,5,8230204,0.4078308705181054,–,1.0,0.0,,1,37.671938,"30,6",,93,6,,0,
94,–,55.775753,5,8230204,0.4078308705181054,–,1.0,,,1,37.671938,"30,6",6,94,9,1.0,0,
95,27,55.771312,3,8300000,0.4078308705181054,7,1.0,,0.0,2,37.655347,"40,5",6,95,9,0.0,0,1.0
96,"55,2",55.775824,2,8323802,0.4078308705181054,–,1.0,0.0,0.0,2,37.67228,"55,2",6,96,5,1.0,0,0.0
97,"37,9",55.775753,2,8375472,0.4078308705181054,–,1.0,0.0,,1,37.671938,"37,9",,97,6,,0,
98,19,55.762505,5,8400000,0.4078308705181054,6,1.0,,0.0,1,37.570312,31,5,98,7,1.0,0,1.0
99,19,55.771418,9,8400000,0.4078308705181054,"5,1",1.0,1.0,0.0,1,37.668435,32,9,99,6,1.0,0,1.0
100,"39,8",55.775824,2,8437054,0.4078308705181054,–,1.0,0.0,0.0,1,37.67228,"39,8",6,100,5,1.0,0,0.0
101,18,55.78486,6,8500000,0.4078308705181054,9,1.0,1.0,0.0,1,37.59153,35,16,101,10,0.0,0,1.0
102,"21,3",55.761872,5,8500000,0.4078308705181054,"5,1",1.0,1.0,0.0,1,37.562676,"31,6",9,102,3,0.0,0,1.0
103,"18,5",55.734805,6,8500000,0.4078308705181054,"11,5",1.0,,0.0,1,37.668156,37,17,103,5,0.0,0,1.0
104,"26,6",55.755282,1,8500000,0.4078308705181054,5,1.0,0.0,0.0,2,37.567159,42,9,104,7,1.0,0,0.0
105,"34,4",55.775753,2,8501908,0.4078308705181054,–,1.0,0.0,,1,37.671938,"34,4",,105,6,,0,
106,37,55.775753,4,8513060,0.4078308705181054,–,1.0,0.0,,1,37.671938,37,,106,6,,0,
107,"36,8",55.775753,4,8611226,0.4078308705181054,–,1.0,0.0,,1,37.671938,"36,8",,107,6,,0,
108,50,55.775753,3,8628726,0.4078308705181054,–,1.0,0.0,,1,37.671938,50,,108,6,,0,
109,"23,1",55.780046,13,8650000,0.4078308705181054,9,1.0,,0.0,1,37.668237,"38,8",14,109,2,1.0,0,
110,"38,4",55.775753,3,8672814,0.4078308705181054,–,1.0,0.0,,1,37.671938,"38,4",,110,6,,0,
111,19,55.742103,12,8700000,0.4078308705181054,8,1.0,1.0,0.0,1,37.68897,39,17,111,10,0.0,0,1.0
112,29,55.791344,4,8700000,0.4078308705181054,6,0.0,1.0,0.0,2,37.629547,44,9,112,6,1.0,0,1.0
113,100,55.759208,2,55000000,0.4078308705181054,17,1.0,,0.0,4,37.643408,152,6,113,10,1.0,0,1.0
114,"28,4",55.774305,13,10329300,0.4078308705181054,"11,3",1.0,1.0,0.0,2,37.642132,"49,9",16,114,10,0.0,0,0.0
115,83,55.742772,3,140670000,0.4078308705181054,20,1.0,1.0,,2,37.598043,"104,2",4,115,7,1.0,0,1.0
116,20,55.743041,6,8700000,0.4078308705181054,9,1.0,1.0,0.0,1,37.687659,38,17,116,10,1.0,0,0.0
117,18,55.76762,3,8800000,0.4078308705181054,6,1.0,1.0,0.0,1,37.587021,30,5,117,9,0.0,0,1.0
118,"52,7",55.775753,2,8839861,0.4078308705181054,–,1.0,0.0,,1,37.671938,"52,7",,118,6,,0,
119,"40,3",55.775753,2,8851913,0.4078308705181054,–,1.0,0.0,,1,37.671938,"40,3",,119,6,,0,
120,23,55.771616,1,8900000,0.4078308705181054,10,1.0,,0.0,1,37.682592,39,3,120,3,1.0,0,1.0
121,22,55.740015,21,8900000,0.4078308705181054,11,1.0,1.0,0.0,1,37.68765,43,25,121,14,1.0,0,1.0
122,31,55.728591,1,8900000,0.4078308705181054,7,1.0,1.0,0.0,2,37.67431,"47,5",12,122,9,0.0,0,1.0
123,"43,7",55.775753,3,8903736,0.4078308705181054,–,1.0,0.0,,1,37.671938,"43,7",,123,6,,0,
124,"38,9",55.775753,4,8949981,0.4078308705181054,–,1.0,0.0,,1,37.671938,"38,9",,124,6,,0,
125,20,55.768061,1,9000000,0.4078308705181054,10,1.0,,,1,37.678514,40,12,125,7,0.0,0,1.0
126,16,55.771925,1,9000000,0.4078308705181054,"10,1",1.0,,0.0,1,37.572369,"36,7",16,126,9,1.0,0,1.0
127,16,55.771925,1,9000000,0.4078308705181054,"10,1",1.0,,0.0,1,37.572369,"36,7",16,127,5,1.0,0,1.0
128,31,55.787801,7,9000000,0.4078308705181054,"7,2",1.0,1.0,0.0,2,37.639671,48,12,128,7,0.0,0,1.0
129,34,55.771312,4,9000000,0.4078308705181054,9,1.0,,0.0,2,37.655347,54,6,129,3,0.0,0,1.0
130,18,55.765088,3,9000000,0.4078308705181054,5,1.0,1.0,0.0,1,37.657493,31,9,130,11,,0,1.0
131,21,55.733624,5,9000000,0.4078308705181054,9,1.0,1.0,0.0,1,37.654448,40,13,131,5,1.0,0,0.0
132,40,55.788054,1,9000000,0.4078308705181054,7,1.0,,0.0,2,37.635979,52,8,132,8,0.0,0,1.0
133,17,55.753889,4,9000000,0.4078308705181054,7,1.0,,0.0,1,37.657305,33,12,133,4,,0,1.0
134,"41,1",55.775753,1,9027459,0.4078308705181054,–,1.0,0.0,,1,37.671938,"41,1",,134,6,,0,
135,"19,1",55.725995,12,9100000,0.4078308705181054,10,1.0,1.0,0.0,1,37.634892,38,16,135,9,0.0,0,1.0
136,"53,3",55.775824,3,9117548,0.4078308705181054,–,1.0,0.0,0.0,2,37.67228,"53,3",6,136,5,1.0,0,0.0
137,–,55.771218,4,9145500,0.4078308705181054,–,1.0,,,1,37.564721,"45,5",39,137,5,1.0,0,
138,"42,6",55.775753,1,9173126,0.4078308705181054,–,1.0,0.0,,1,37.671938,"42,6",,138,6,,0,
139,29,55.779423,1,9200000,0.4078308705181054,6,1.0,,0.0,2,37.627966,44,5,139,6,1.0,0,1.0
140,19,55.74108,9,9200000,0.4078308705181054,8,1.0,1.0,0.0,1,37.683877,38,17,140,11,0.0,0,1.0
141,110,55.726893,7,107000000,0.4078308705181054,14,1.0,1.0,0.0,4,37.574345,160,11,141,6,1.0,0,1.0
